k,n,auc_mean,auc_std,pos_rate
1,31509,0.6065167403481342,0.0031161129261686026,0.5467644165159161
2,31509,0.6131568041640237,0.006652273920029871,0.5467644165159161
3,31509,0.6207023236009939,0.0035065277738412248,0.5467644165159161
5,31509,0.621387435213323,0.004459221400285087,0.5467644165159161
8,31491,0.6465514744804455,0.004576590146656038,0.5470769426185259
10,31059,0.8513953320390568,0.005098823278759547,0.5546862423130171
12,24200,0.8824015501165317,0.004098398494779444,0.695702479338843
15,14596,0.9254778908567699,0.003961929302325626,0.7327349958892847
20,4568,0.9306715514482289,0.009518398434864,0.8123905429071804
